SETID,DEPTID,DESCR,GL_EXPENSE,DESCR50
A1_ID,4001,AWS Professional Services,AMAZON WEB SERVICES,AWS - Product Management and Dev Relations
A1_ID,7300,Cloudfront,AMAZON WEB SERVICES,AWS - Utility Computing
A1_ID,7304,DBS Leadership,AMAZON WEB SERVICES,AWS - Utility Computing
A1_ID,7337,DBS Redshift,AMAZON WEB SERVICES,AWS - Utility Computing
A1_ID,7413,Acquisition & Construction-Var,AMAZON WEB SERVICES,Infrastructure
A1_ID,7453,Data Center Capital,AMAZON WEB SERVICES,Infrastructure
A1_ID,7454,Data Center Ops (DCO)-Variable,AMAZON WEB SERVICES,Infrastructure
A1_ID,7456,Data Center GlobalServices-Var,AMAZON WEB SERVICES,Infrastructure
A1_ID,7457,AWS Technical Ops Servcs(TOS),AMAZON WEB SERVICES,AWS - Utility Computing
A1_ID,7459,Network Operations - Variable,AMAZON WEB SERVICES,Infrastructure
A1_ID,7465,Infrastructure Physical Scrty,AMAZON WEB SERVICES,Infrastructure
A1_ID,7704,Data Center Design Engineering,AMAZON WEB SERVICES,Infrastructure
A1_ID,7710,Systems & Network Engineering,AMAZON WEB SERVICES,Infrastructure
A1_ID,7729,Data Center Global Services,AMAZON WEB SERVICES,Infrastructure
A1_ID,7742,Business Operations-Variable,AMAZON WEB SERVICES,Infrastructure
A1_ID,7751,Data Center Operations (DCO),AMAZON WEB SERVICES,Infrastructure
A1_ID,7760,Data Center Engg Ops(DCEO)-Var,AMAZON WEB SERVICES,Infrastructure
A2ZID,1004,Prime Now FC Fixed,OPERATIONS & CUSTOMER SERVICE,FC Operations
A2ZID,1585,Fixed Digital Corp - CS,OPERATIONS & CUSTOMER SERVICE,WW Customer Service
A2ZID,2512,AWS Variable Fraud,AMAZON WEB SERVICES,AWS - Utility Computing
A2ZID,2549,Operations and Supply Chain,KINDLE DEVICE,Device Operations
A2ZID,2550,Quality and Lean,KINDLE DEVICE,Device Operations
A2ZID,2551,Supply Chain Planning,KINDLE DEVICE,Device Operations
A2ZID,2552,Global Manufacturing &Ops Engg,DIGITAL,Device Operations
A2ZID,2553,Supply Chain and Compliance,KINDLE DEVICE,Device Operations
A2ZID,2554,"Product Ops: Echo, eReader,SMP",KINDLE DEVICE,Device Operations
A2ZID,2555,Global Operations Support,KINDLE DEVICE,Device Operations
A2ZID,2556,AME/NPI,KINDLE DEVICE,Device Operations
A2ZID,2558,New Technology Operations,KINDLE DEVICE,Device Operations
A2ZID,2559,Product Operations: SMP & Echo,KINDLE DEVICE,Device Operations
A2ZID,2560,Accessories Operations,KINDLE DEVICE,Device Operations
A2ZID,4322,Guru Operations Variable,KINDLE DEVICE,North American Sales
A2ZID,4451,Dig Tech Mgmt - BD/Mktg,DIGITAL,New Initiatives
A2ZID,4502,Transaction Risk Management,MERCHANT SERVICES,Risk Management and Fraud
A2ZID,5101,Echo Look Consumer Variable,INTERNATIONAL RETAIL, 
A2ZID,5111,Author Services,KINDLE CONTENT,GoodReads
A2ZID,5139,Applied Modeling and Data Sci,KINDLE DEVICE,App Store/ Games/ Cloud drive
A2ZID,5140,Alexa Data Services,KINDLE DEVICE,App Store/ Games/ Cloud drive
A2ZID,5141,Amazon Devices-Demand Planning,DIGITAL,New Initiatives
