SETID,JOBCODE,DESCR,SURVEY_JOB_CODE,JOB_FAMILY,DESCR_1
CW_ID,900045,Customer Service Assoc (TEMP),99,TEMP,Temporary Worker
CW_ID,900231,Warehouse Associate (OSP),99,OSP,Outsourced Service Provider
CW_ID,900234,Warehouse Associate (TEMP),99,TEMP,Temporary Worker
CW_ID,900411,Recruiting Support (TEMP),99,TEMP,Temporary Worker
CW_ID,900572,HR Assistant (TEMP),99,TEMP,Temporary Worker
CW_ID,900704,Customer Service Mgr (TEMP),99,TEMP,Temporary Worker
CW_ID,900800,Facilities Manager (TEMP),99,TEMP,Temporary Worker
CW_ID,900803,FC Associate I (T),99,FC,Fulfillment Center
CW_ID,900805,FC Associate III (T),99,FC,Fulfillment Center
CW_ID,900806,Account Manager (TEMP),99,TEMP,Temporary Worker
CW_ID,900807,Accounting Assistant (TEMP),99,TEMP,Temporary Worker
CW_ID,900808,Administrative Support (TEMP),99,TEMP,Temporary Worker
CW_ID,900810,Director - Art (TEMP),99,TEMP,Temporary Worker
CW_ID,900811,Editor Assistant (TEMP),99,TEMP,Temporary Worker
CW_ID,900812,Instock Manager (TEMP),99,TEMP,Temporary Worker
CW_ID,900813,Vendor Manager (TEMP),99,TEMP,Temporary Worker
CW_ID,900814,Business Analyst (TEMP),99,TEMP,Temporary Worker
CW_ID,900815,Business Intel Eng (TEMP),99,TEMP,Temporary Worker
CW_ID,900816,Buyer (TEMP),99,TEMP,Temporary Worker
CW_ID,900817,Buyer Assistant (TEMP),99,TEMP,Temporary Worker
CW_ID,900818,CAD Technician (TEMP),99,TEMP,Temporary Worker
CW_ID,900819,Catalog Specialist (TEMP),99,TEMP,Temporary Worker
CW_ID,900820,Content Eval Specialist (TEMP),99,TEMP,Temporary Worker
CW_ID,900822,Media/Comms Support (TEMP),99,TEMP,Temporary Worker
CW_ID,900823,Control System Tech (TEMP),99,TEMP,Temporary Worker
CW_ID,900824,Creative Services Coord (TEMP),99,TEMP,Temporary Worker
CW_ID,900826,Data Analyst (TEMP),99,TEMP,Temporary Worker
CW_ID,900827,Database Administrator (TEMP),99,TEMP,Temporary Worker
CW_ID,900828,Data Cntr Tech Ops Eng (TEMP),99,TEMP,Temporary Worker
CW_ID,900829,Data Cntr Tech (TEMP),99,TEMP,Temporary Worker
CW_ID,900830,Data Collect Research (TEMP),99,TEMP,Temporary Worker
CW_ID,900831,Data Engineer (TEMP),99,TEMP,Temporary Worker
CW_ID,900832,Data Entry Associate (TEMP),99,TEMP,Temporary Worker
CW_ID,900833,Data Security Lead (TEMP),99,TEMP,Temporary Worker
CW_ID,900835,Editor - Print (TEMP),99,TEMP,Temporary Worker
CW_ID,900836,Executive Assistant (TEMP),99,TEMP,Temporary Worker
CW_ID,900837,Facilities Technician (TEMP),99,TEMP,Temporary Worker
CW_ID,900838,Finance Support (TEMP),99,TEMP,Temporary Worker
CW_ID,900839,Finance Analyst (TEMP),99,TEMP,Temporary Worker
CW_ID,900841,Designer - Graphic (TEMP),99,TEMP,Temporary Worker
CW_ID,900843,HR Generalist (TEMP),99,TEMP,Temporary Worker
CW_ID,900844,HR Specialist (TEMP),99,TEMP,Temporary Worker
CW_ID,900847,Inventory Planner (TEMP),99,TEMP,Temporary Worker
CW_ID,900848,Legal Counsel (TEMP),99,TEMP,Temporary Worker
CW_ID,900849,Legal Support (TEMP),99,TEMP,Temporary Worker
CW_ID,900851,Marketing/Adver Support (TEMP),99,TEMP,Temporary Worker
CW_ID,900852,Marketing Manager (TEMP),99,TEMP,Temporary Worker
CW_ID,900855,Network Engineer (TEMP),99,TEMP,Temporary Worker
CW_ID,900856,Network Technician (TEMP),99,TEMP,Temporary Worker
CW_ID,900858,Paralegal (TEMP),99,TEMP,Temporary Worker
CW_ID,900859,Editor - Photo (TEMP),99,TEMP,Temporary Worker
CW_ID,900860,Photographer (TEMP),99,TEMP,Temporary Worker
CW_ID,900861,Studio Assistant (TEMP),99,TEMP,Temporary Worker
CW_ID,900862,Press Assistant (TEMP),99,TEMP,Temporary Worker
CW_ID,900863,Press Operator (TEMP),99,TEMP,Temporary Worker
CW_ID,900865,Product Manager (TEMP),99,TEMP,Temporary Worker
CW_ID,900867,Production Artist (TEMP),99,TEMP,Temporary Worker
CW_ID,900871,Project/Program Manager (TEMP),99,TEMP,Temporary Worker
CW_ID,900873,Quality Assurance Tech (TEMP),99,TEMP,Temporary Worker
CW_ID,900874,Recruiter (TEMP),99,TEMP,Temporary Worker
CW_ID,900875,Recruiting Coordinator (TEMP),99,TEMP,Temporary Worker
CW_ID,900878,Risk Investigator (TEMP),99,TEMP,Temporary Worker
CW_ID,900879,Sales Assistant (TEMP),99,TEMP,Temporary Worker
CW_ID,900880,Site Merchandiser (TEMP),99,TEMP,Temporary Worker
CW_ID,900881,Public Rel Support (TEMP),99,TEMP,Temporary Worker
CW_ID,900882,Software Dev Engineer (TEMP),99,TEMP,Temporary Worker
CW_ID,900886,Speech & Lang Annotator (TEMP),99,TEMP,Temporary Worker
CW_ID,900887,Supply Chain Analyst (TEMP),99,TEMP,Temporary Worker
CW_ID,900888,Support Engineer (TEMP),99,TEMP,Temporary Worker
CW_ID,900889,Temp Support Specialist,99,TEMP,Temporary Worker
CW_ID,900890,Systems Engineer (TEMP),99,TEMP,Temporary Worker
CW_ID,900893,Technical Support (TEMP),99,TEMP,Temporary Worker
CW_ID,900894,Technical Writer (TEMP),99,TEMP,Temporary Worker
CW_ID,900897,User Exper Designer (TEMP),99,TEMP,Temporary Worker
CW_ID,900899,Web Developer (TEMP),99,TEMP,Temporary Worker
CW_ID,900901,Architect (PBC),99,PBVEN,Project Based Contractor
CW_ID,900902,Auditor (PBC),99,PBVEN,Project Based Contractor
CW_ID,900903,Benefits/Payroll Support (OSP),99,OSP,Outsourced Service Provider
CW_ID,900904,Cafeteria Worker (OSP),99,OSP,Outsourced Service Provider
CW_ID,900905,Corrugate/Pallet Services(OSP),99,OSP,Outsourced Service Provider
CW_ID,900906,Delivery Associate (OSP),99,OSP,Outsourced Service Provider
CW_ID,900907,Elec/Mech/Const (OSP),99,OSP,Outsourced Service Provider
CW_ID,900908,Equip Repair/Maint (OSP),99,OSP,Outsourced Service Provider
CW_ID,900909,External Software Maint (OSP),99,OSP,Outsourced Service Provider
CW_ID,900910,External Leadership Coach (IC),99,IC,Independent Contractor
CW_ID,900911,Ext Leg Tax Cnsl (PBC),99,PBVEN,Project Based Contractor
CW_ID,900912,Trainee - Legal (PBC),99,PBVEN,Project Based Contractor
CW_ID,900913,Janitor (OSP),99,OSP,Outsourced Service Provider
CW_ID,900914,Landlord (OSP),99,OSP,Outsourced Service Provider
CW_ID,900915,Mailroom Worker (OSP),99,OSP,Outsourced Service Provider
CW_ID,900916,Studio Model (OSP),99,OSP,Outsourced Service Provider
CW_ID,900917,Real Estate Broker (OSP),99,OSP,Outsourced Service Provider
CW_ID,900918,Tax Analyst (PBC),99,PBVEN,Project Based Contractor
CW_ID,900919,Travel Agent (OSP),99,OSP,Outsourced Service Provider
CW_ID,900920,Control System Lead (PBC),99,PBVEN,Project Based Contractor
CW_ID,900922,Control System Engineer (PBC),99,PBVEN,Project Based Contractor
CW_ID,900923,AWS Infrastructure (OSP),99,OSP,Outsourced Service Provider
CW_ID,900924,Medical Rep (OSP),99,OSP,Outsourced Service Provider
CW_ID,900925,Trainer (PBC),99,PBVEN,Project Based Contractor
CW_ID,900926,Control System Tech (PBC),99,PBVEN,Project Based Contractor
CW_ID,900927,Outsourced VendorFundedResour,99,OSP,Outsourced Service Provider
CW_ID,900930,Staffing Agency Rep (OSP),99,OSP,Outsourced Service Provider
CW_ID,900932,Component Manufacturing (PBC),99,PBVEN,Project Based Contractor
CW_ID,900933,Visiting Prof (PBC),99,PBVEN,Project Based Contractor
CW_ID,900934,Account Manager (IC),99,IC,Independent Contractor
CW_ID,900936,Administrative Support (IC),99,IC,Independent Contractor
CW_ID,900938,Director - Art (IC),99,IC,Independent Contractor
CW_ID,900941,Vendor Manager (IC),99,IC,Independent Contractor
CW_ID,900942,Business Analyst (IC),99,IC,Independent Contractor
CW_ID,900943,Business Intel Eng (IC),99,IC,Independent Contractor
CW_ID,900944,Buyer (IC),99,IC,Independent Contractor
CW_ID,900945,Buyer Assistant (IC),99,IC,Independent Contractor
CW_ID,900946,CAD Technician (IC),99,IC,Independent Contractor
CW_ID,900947,Catalog Specialist (IC),99,IC,Independent Contractor
CW_ID,900948,Content Eval Specialist (IC),99,IC,Independent Contractor
CW_ID,900950,Media/Comms Support (IC),99,IC,Independent Contractor
CW_ID,900951,Control System Tech (IC),99,IC,Independent Contractor
CW_ID,900953,Customer Service Assoc (IC),99,IC,Independent Contractor
CW_ID,900954,Data Analyst (IC),99,IC,Independent Contractor
CW_ID,900956,Control System Engineer (IC),99,IC,Independent Contractor
CW_ID,900957,Data Cntr Tech (IC),99,IC,Independent Contractor
CW_ID,900958,Data Collect Research (IC),99,IC,Independent Contractor
CW_ID,900959,Data Engineer (IC),99,IC,Independent Contractor
CW_ID,900960,Data Entry Associate (IC),99,IC,Independent Contractor
CW_ID,900961,Data Security Lead (IC),99,IC,Independent Contractor
CW_ID,900963,Editor - Print (IC),99,IC,Independent Contractor
