AZ_SHIFT_PATTERN,DESCR,DESCRSHORT
0001,Mon-Fri 1400-2230,Mon-Fri
0002,Sun-Thu 0000-0830,Sun-Thu
0003,Sun-Wed 1000-2030,Sun-Wed
0004,Wed-Sat 1000-2030,Wed-Sat
0005,"Sun-Mon, Fri-Sat 0530-1900","Su-M, F-Sa"
0006,Tue-Sat 08:00-16:30,Tue-Sat
0007,Mon-Fri 11:30-20:00,Mon-Fri
0008,Mon-Fri 06:45-15:15,Mon-Fri
0009,Sun-Thu 19:00-0330,Sun-Thu
0010,Sun-Thu 18:30-0300,Sun-Thu
0011,Sun-Wed 0800-1830,Sun-Wed
0012,Wed-Sat 0800-1830,Wed-Sat
0013,Sun-Thur 12:30-21:00,Su-Th12:30
0014,"Sun-Tue, Sat 7-17:30","Su-Tu, Sa"
0015,"Sun-Mon, Wed, Sat 7-17:30","Su-M,W,Sa"
0016,"Su, Tu-Th 1800-0430","SU, TU-TH"
0017,Mon-Fri 0800-1630,Mon-Fri
0018,Mon-Fri 14:30-23:00,M-F 14:30
0019,Mon-Fri 18:30-03:00,M-F 18:30
0020,"M, Tu, Th, Fr 5-15:30",Dnut 5-153
0021,M-F 5-13:30,M-F 5-13:3
0022,Su-W 7-18:00,Su-W 7-18
0023,W-Sa 7-18:00,W-Sa 7-18
0024,W-Sa 18-5:00,W-Sa 18-5
0025,Su-W 18:00-5:00,Su-W 18-5
0026,"Sun-Mon,Fri-Sat 7-17:30","Su-M, F-Sa"
0027,Mon-Fri 08:00-16:30,M-F 8-1630
0028,Mon-Fri 08:30-17:00,M-F 8:30-5
0029,"Tu-W,F-Sa 07:00-17:30",TuWFSa 7
0030,Sun-Thur 18:00-02:30,Su-Th6-230
0031,Sun-Wed 1900-0330,Sun-Wed
0032,Mon-Fri 12:00-20:30,M-F 12-830
0033,Tue-Fri 08:00-16:30,Tu-F 8-430
0034,"W,F,Sa 0730-1800,Th 07:30-1730",W-Sa Reduc
0035,M-F 11-19:30,M-F11-1930
0036,Mon-Fri 07:45-16:15,M-F745-415
0037,"Sun 12-830, M-Th 730-4","Su, M-Th"
0038,"Su-M, Sa 1800-0430; F 0015-430","Su-M, F-Sa"
0039,"W,Sa 7:30-6, Th-F 7:30-4","W,Sa, Th-F"
0040,"M-Tu, Th-F 07:00-17:30","M,T,Th,F"
0041,"M,Tu 730-1800, Th,F 7-1730","M,Tu,Th, F"
0042,"W 730-1800, Th-Sa 700-1730","W730,T-F7"
0043,Su-Wed 0700-1730,Su-W 7-530
0044,"Su,W 7-530; M-Tu 730-6","S,W; M-Tu"
0045,"W-F 730-1800, Sa 7-1730","W-F730,Sa7"
0046,W-Sa 0700-1730,W-Sa 7-530
0047,"W,Sa 700-1730, Th-F 730-1800","W,Sa,Th-F"
0048,"M,W,T7-330 Tu11-730 F0400-1230",M-F3Times
0049,Wed-Sat 06:30-17:00,W-Sa 06:30
0050,Sun-Thur 13:00-21:30,Su-Th1-930
0051,Mon-Fri 0900-1730,Mon-Fri
0052,Sun-Thu 1945 - 0415,Sun-Thu
0053,W-Sat,W-Sat
0054,"Sun 730-1800, M-W 730-1630",Sun-W
0055,W-Sat,W-Sat
0056,Sun-Thu 0900-1730,Sun-Thu
0057,"Su,Sa 900-1930; M-Tu 0930-1800",Su M-Tu Sa
0058,"Sun, Sat 0900-1930","Sun, Sat"
0059,Mon-Fri 0900-1730,Mon-Fri
0060,Mon-Fri 1800-0230,Mon-Fri
0061,Mon-Fri 0930-1800,Mon-Fri
0062,Mon-Fri 1830-0300,Mon-Fri
0063,Tue-Sat 0700-1530,Tue-Sat
0064,Tu-Sat 0900-1730,Tu-Sat
0065,Wed-Sat,W-Sat
0066,Sun-Weds,Sun-Weds
0067,Mon-Tu & Thu-Fri 07301600,"M-Tu,Thu-F"
0068,Tu-Fri 1600-0230,Tu- Fri
0069,Mon-Thur 1600-0230,Mon-Thu
0070,Mon-Fri 0730-1600,Mon-Fri
0071,"Mon-Tue, Thu-Fri 0730-1800","M-Tu, Th-F"
0072,Sun-Thu 0730-1600,Sun-Thu
0073,Sun-Wed 0730-1800,Sun-Wed
0074,Tue-Sat 0730-1600,Tue-Sat
0075,Wed-Sat 0730-1800,Wed-Sat
0076,"Mon, Wed, Fri 1800-0430","M,W,F"
0077,Mon-Fri 1030-1900,Mon-Fri
0078,"Wed-Fri 13:35-18:00, Sat 07:30",Wed-Sat
0079,"Sun, Fri-Sat 0730-1800","Sun, Fr-Sa"
0080,"M, W-F 12:30-23:00",MWThF1230
0081,7DAYS OFF 0730-1800,7DAYS OFF
0082,Mon-Fri 21:30-06:00,M-F 2130-6
0083,Mon-Fri 0800-1630,Mon-Fri
0084,Mon-Fri Times Vary,Mon-Fri
0085,M-Fri 07:30-11:30,M-Fri
0086,"Sun-Tue, Sat","Sun-Tue, S"
0087,Mon-Fri 0700-1530,Mon-Fri
0088,Wed-Sat,Wed-Sat
0089,Mon-Fri 04:00-12:30,M-F 4-1230
0090,"Wed-Sat, Thur","Wed-Sat, T"
0091,"M, Thur-Sat 1730-2800","M, Thur-Sa"
0092,Sun-Tues 0700-1730,Sun-Tues
0093,Mon-Weds 1800-2830,Mon-Weds
0094,Sun-Wed 7:30AM - 12:30PM,Su-W
0095,Mon-Fri 10:30 - 19:00,M-F
0096,Mon-Fri 22:00 - 06:30,M-F
0097,Tue-Thur 07:00-15:30,T-Th FLEX
0098,"W, F, Sa 18:00-04:30, Th 21:00","W,F,Sa,Th"
0099,Sun-Thur 09:00-17:30,Su-Th9-530
00A1,"Sun - Wed, 07:00 - 17:30",Su-W
00A2,"Sun - Wed, 0730 - 1800",Su - W
00A3,Sun-Wed 0800-1830,Sun-Wed 08
00AI,Sun-Wed 7-17:30,Su-W 7:00
00AO,Sun-Wed 7:30-18:00,S-W 7:30
00AQ,Sun-Wed 7:30 - 18:00,Su-W 730
00B1,"Wed - Sat, 07:00 - 17:30",Wed-Sat
00B2,"Wed - Sat, 07:30 - 18:00",W-Sa
00B3,Wed-Sat	0800-1830,Wed-Sat	08
00BI,Wed-Sat 7:00-17:30,W-Sa 7:00
00BO,Wed-Sat 7:30-18:00,W-Sa 7:30
00BQ,Wed-Sat 7:30 - 18:00,W-Sa 730
00C1,"M, T, Th, F	0700-1730","M, T, Th,F"
00C2,"M-Tu, Th-F, 0730-1800","M-T, Th-F"
00C3,"M, T, Th, F	0800-1830","M, T, Th,F"
00CI,"M,T,Th,F 7-17:30","M,T,Th,F 7"
00CO,"M,T,Th,F 7:30-18:00","M,T,Th,F"
00CQ,"M,T,Th,F 7:30-18:00","M,T,Th,F"
00D1,"Su,M,F,Sa	0700-1730","Su,M,F,Sa7"
00D2,"Su,M,F,Sa 0730-1800","Su,M,F,Sa"
00D3,"Sun-Mon, Fri-Sat, 08:00 - 18:3","Su-M,F-Sa"
00DO,"Su,M,F,Sa 7:30-18:00","S,M,F,S730"
00DQ,"Su, M, F, Sa 7:30-18:00","S,M,F,S730"
00E1,"Su,Sa	0700-1730","Su,Sa 0700"
00E2,"Su,Sa	0730-1800","Su,Sa	0730"
00E3,"Su,Sa	0800-1830","Su,Sa	0800"
00EO,"Sun, Sat 7:30-18:00","Su,Sa 7:30"
00F1,Mon-Fri 0700-1530,Mon-Fri 07
00F2,"Mon - Fri, 0730 - 1600",M - F
00F3,Mon-Fri 0800-1630,Mon-Fri 08
00F4,Mon-Fri 0730 - 1800,Mon-Fri
00I1,BCN1-A,00I1
00I2,BCN1-A,00I2
00I3,BCN1-A,00I3
00I4,BCN1-A,00I4
00I5,BCN1-A,00I5
00I6,BCN1-A,00I6
00I7,BCN1-A,00I7
00I8,BCN1-A,00I8
00I9,BCN1-A,00I9
00IN,BCN1-A,00IN
00O1,BCN1-A,00O1
00O2,BCN1-A,00O2
00O3,BCN1-A,00O3
00O4,BCN1-A,00O4
00O5,BCN1-A,00O5
00O6,BCN1-A,00O6
00O7,BCN1-A,00O7
00O8,BCN1-A,00O8
00OE,BCN1-A,00OE
00ON,BCN1-A,00ON
00T1,Sun-Thu 1830-0300,Su-Th63p-3
00TO,Sun-Thur 18:30-03:00,Su-Th 1830
00TQ,Sun-Th 18:30-3:00,Su-Th 1830
00UO,Tue-Sat 18:30-03:00,Tu-Sa 1830
00VI,Mon-Fri 18:00-02:30,M-F 18:00
0100,Mon - Fri 1200 - 2030,M-F
0101,"Wed, Fri-Sat 1800-0430","Wed, Fri-S"
0102,"Tu-Fri, Sat","Tu-Fri, Sa"
0104,Mon-Fri 06:00-14:30,M-F 6a-230
0105,Sun-Wed 18:00-04:30,Su-W6p-430
0106,Mon-Fri 13:30-22:00,M-F 13:30
0107,Fri-Sat 0700-1730,Fri-Sat
0108,Sun-Weds,Sun-Weds
0109,Mon-Fri 2000-0430,Mon-Fri
0110,"Sun-Tue, Sat 0800-1830","Sun-Tu, Sa"
0111,Fri-Sun 0800-1830,Fri-Sun
0112,Mon-Wed 09:00-16:00,M-W 9-4pm
0113,"Sun, Thur-Sat 14:00-00:30","Sun,Thur-S"
0114,Mon-Fri 16:30 - 1:00,M-F
0115,Mon - Fri; 16:00 - 00:30,M-F
0116,Sun-Wed 16:30 - 03:00,Su-W
0117,Mon-Thu 16:30-03:00,M-Th
0118,Mon-Fri 1400-2230,M-F
0119,"Mon-Tue, Thu-Fri 0800-1730","M-Tu, Th-F"
0120,Sun-Thur 09:00-17:30,Su-Th9-530
0121,Mon-Fri 17:30-02:00,M-F530p-2a
0122,Sun-Wed 08300-1900,Sun-Wed
0123,Wed-Sat 0830-1900,Wed-Sat
0124,Mon-Fri 0900 - 1800,Mon-Fri
0125,"Sun-Tue,Sat 0730-1800","Sun-Tue,Sa"
0126,Sun-Thu 1900-0330,Sun-Thu
0127,"Mon-Tue, Thu-Fri 12:00 - 22:30","M-T, Th-F"
