EMPLID,EMPL_RCD,"TO_CHAR(A.EFFDT,'YYYY-MM-DD')",BUSINESS_TITLE
222744,9,1/1/2008,CSA Temp
27402,0,1/1/2008,Area Manager
224074,0,1/1/2008,"Sr Mgr, WW Direct Tax Rptg"
207924,0,1/1/2008,VP and CTO
277068,0,1/1/2008,Legal Assistant
228489,0,1/1/2008,Principal Engineer
268607,0,1/1/2008,Software Development Engineer
44442,0,1/1/2008,Senior Financial Analyst
27694,0,1/1/2008,"Director, Protective Services"
297022,0,1/1/2008,Principal HW Development Eng.
22927,0,1/1/2008,Senior Executive Assistant
79992,0,1/1/2008,FC Associate
247009,0,1/1/2008,Executive Assistant
270286,0,1/1/2008,Assistant Facilities Manager
47874,0,1/1/2008,Software Development Engineer
2274,0,1/1/2008,Data Editor
42070,0,1/1/2008,"VP, Finance Operations"
48224,0,1/1/2008,"Director, Indirect Taxes"
64,0,1/1/2008,"Sr. VP, Business Development"
44247,9,1/1/2008, 
29428,9,1/1/2008, 
42278,9,1/1/2008,Vendor
244062,9,1/1/2008,Warehouse Assoc (temp)
220429,9,1/1/2008,UPS
294298,9,1/1/2008,Hugo's Industrial Supply
202499,9,1/1/2008,Vendor - Storo Pack Inc.
90604,9,1/1/2008,Vendor
77747,9,1/1/2008,Contractor
24077,9,1/1/2008,Vendor
74248,9,1/1/2008,Canteen
202794,9,1/1/2008,Nazareth Pallet Co
47977,0,1/1/2008,FC Associate
29902,0,1/1/2008,FC Associate
206490,0,1/1/2008,FC Associate
207782,0,1/1/2008,FC Associate
22286,0,1/1/2008,Process Assistant
222772,0,1/1/2008,FC Associate I
240427,0,1/1/2008,FC Associate I
266478,0,1/1/2008,FC Associate I
279774,9,1/1/2008,Hewlett Packard
249447,0,1/1/2008,Warehouse Associate
77004,0,1/1/2008,Warehouse Associate
226846,0,1/1/2008,FC Associate I
266494,0,1/1/2008,FC Associate I
224729,0,1/1/2008,FC Associate I
224244,0,1/1/2008,FC Associate I
207782,0,2/11/2008,FC Associate I
294762,0,1/1/2008,FC Associate I
207744,0,1/1/2008,FC Associate I
244970,0,1/1/2008,FC Associate I
206277,0,6/9/2008,FC Associate I
67768,0,1/1/2008,FC Associate I
97482,0,1/1/2008,FC Associate I
86298,0,1/1/2008,FC Associate I
274248,0,1/1/2008,FC Associate I
277768,0,6/30/2008,FC Associate I
268477,0,1/1/2008,FC Associate I
72446,0,1/1/2008,FC Associate I
72964,0,1/1/2008,FC Associate II
84042,0,1/1/2008,FC Associate II
47724,0,1/1/2008,FC Associate II
282476,0,2/4/2008,FC Associate I
204447,0,1/1/2008,FC Associate I
274842,0,8/10/2008,Warehouse Associate
272827,0,8/10/2008,Warehouse Associate
274494,0,8/10/2008,Warehouse Associate
272474,0,1/1/2008,FC Associate I
208272,0,1/1/2008,FC Associate I
224946,0,1/1/2008,FC Associate I
229274,0,1/1/2008,FC Associate I
266022,0,1/1/2008,FC Associate I
222720,0,1/1/2008,FC Associate I
277272,0,1/1/2008,FC Associate I
76287,0,1/1/2008,Warehouse Associate
209079,0,1/1/2008,FC Associate I
294724,0,1/1/2008,FC Associate I
294786,0,1/1/2008,FC Associate I
274760,0,7/28/2008,FC Associate I
227274,0,1/1/2008,FC Associate I
90924,0,1/1/2008,FC Associate I
82264,0,1/1/2008,FC Associate I
209087,0,1/1/2008,FC Associate I
96487,0,1/1/2008,FC Associate I
242746,0,1/1/2008,FC Associate I
226067,0,6/2/2008,FC Associate I
267722,0,1/1/2008,FC Associate I
74644,0,1/1/2008,FC Associate II
72828,0,1/1/2008,FC Associate II
84476,0,1/1/2008,FC Associate II
60477,0,1/1/2008,FC Associate II
68644,0,1/1/2008,FC Associate II
90748,0,1/1/2008,FC Associate II
274974,0,1/1/2008,FC Associate
289229,0,1/1/2008,FC Associate
278092,0,8/5/2008,FC Associate I
276609,0,1/1/2008,FC Associate I
77228,0,1/1/2008,FC Associate I
67777,0,1/1/2008,FC Associate II
206628,0,1/1/2008,FC Associate
274742,0,1/1/2008,FC Associate I
248792,0,6/16/2008,FC Associate I
84044,0,1/1/2008,FC Associate II
66427,0,1/1/2008,FC Associate II
226472,0,1/1/2008,FC Associate I
42778,0,1/1/2008,FC Associate II
207778,0,1/1/2008,FC Associate I
209079,0,6/23/2008,FC Associate I
246097,0,1/1/2008,FC Associate II
278744,0,8/5/2008,FC Associate I
278779,0,8/5/2008,FC Associate I
226049,0,8/12/2008,FC Associate I
222074,0,8/12/2008,FC Associate I
279704,0,8/12/2008,FC Associate I
279720,0,8/12/2008,FC Associate I
279722,0,8/12/2008,FC Associate I
44447,0,1/1/2008,FC Associate II
276607,0,1/1/2008,FC Associate II
274277,0,6/23/2008,FC Associate I
66822,0,1/1/2008,FC Associate II
69447,0,1/1/2008,FC Associate II
222207,0,1/1/2008,FC Associate
224784,0,1/1/2008,FC Associate
226442,0,1/1/2008,FC Associate
284920,0,1/1/2008,FC Associate
249204,0,6/1/2008,Warehouse Associate
224442,0,1/1/2008,Warehouse Associate
264249,0,1/1/2008,FC Associate I
277747,0,7/15/2008,FC Associate I
264977,0,1/1/2008,FC Associate I
222027,0,1/1/2008,FC Associate I
264620,0,1/1/2008,FC Associate I
224294,0,6/24/2008,FC Associate I
267907,0,1/1/2008,FC Associate I
267897,0,1/1/2008,FC Associate I
222704,0,1/1/2008,FC Associate I
222748,0,1/1/2008,FC Associate I
208744,0,1/1/2008,FC Associate
222024,0,1/1/2008,FC Associate
278279,0,8/12/2008,FC Associate I
278280,0,8/12/2008,FC Associate I
278282,0,8/12/2008,FC Associate I
278284,0,8/12/2008,FC Associate I
278284,0,8/12/2008,FC Associate I
278292,0,8/12/2008,FC Associate I
260622,0,8/17/2008,FC Associate
267277,0,1/1/2008,FC Associate I
267276,0,1/1/2008,FC Associate I
209274,0,1/1/2008,FC Associate I
222744,0,6/24/2008,FC Associate I
229472,0,1/1/2008,FC Associate I
277802,0,1/1/2008,FC Associate I
208274,0,1/1/2008,FC Associate I
226607,0,1/1/2008,FC Associate I
264244,0,1/1/2008,FC Associate I
266494,0,1/1/2008,FC Associate I
209268,0,1/1/2008,FC Associate I
264624,0,1/1/2008,FC Associate I
242772,0,7/15/2008,FC Associate I
276222,0,7/22/2008,FC Associate I
276224,0,7/22/2008,FC Associate I
72224,0,1/1/2008,Collator
79042,0,1/1/2008,Collator
249066,0,7/20/2008,Warehouse Associate
277076,0,7/13/2008,Warehouse Associate
206492,0,1/1/2008,FC Associate I
277407,0,1/1/2008,FC Associate I
277404,0,1/1/2008,FC Associate I
269247,0,1/1/2008,FC Associate I
264627,0,1/1/2008,FC Associate I
287777,0,1/1/2008,FC Associate I
278787,0,1/1/2008,FC Associate I
287777,0,1/1/2008,FC Associate I
274688,0,1/1/2008,FC Associate I
269472,0,1/1/2008,FC Associate I
287778,0,1/1/2008,FC Associate I
202924,0,1/1/2008,FC Associate I
202922,0,1/1/2008,FC Associate I
202274,0,1/1/2008,FC Associate I
202948,0,1/1/2008,FC Associate I
202280,0,1/1/2008,FC Associate I
202947,0,1/1/2008,FC Associate I
202942,0,1/1/2008,FC Associate I
202462,0,1/1/2008,FC Associate I
287727,0,1/1/2008,FC Associate I
289249,0,1/1/2008,FC Associate I
284864,0,1/1/2008,FC Associate I
204260,0,1/1/2008,FC Associate I
287929,0,1/1/2008,FC Associate I
272476,0,1/1/2008,FC Associate I
262672,0,1/1/2008,FC Associate I
262674,0,1/1/2008,MOD Operator
267872,0,1/1/2008,FC Associate I
279727,0,8/11/2008,FC Associate I
282640,0,1/1/2008,Warehouse Associate
208047,0,1/1/2008,Warehouse Associate
279427,0,1/1/2008,FC Associate I
247077,0,1/1/2008,Warehouse Associate
246627,0,1/1/2008,Warehouse Associate
269262,9,1/1/2008,AGS Vendor
260744,0,8/19/2008,FC Associate I
260770,0,8/19/2008,FC Associate I
278272,0,7/29/2008,FC Associate I
220974,0,7/29/2008,FC Associate I
222044,0,7/29/2008,FC Associate I
277466,0,8/5/2008,FC Associate I
206640,0,1/1/2008,FC Associate
202674,0,1/1/2008,Warehouse Associate
87444,0,1/1/2008,Warehouse Associate
298242,0,1/1/2008,Receive Jewellery Specialist
277228,0,7/13/2008,Warehouse Associate
224622,0,1/1/2008,Warehouse Associate
94446,0,1/1/2008,Warehouse Associate
242827,0,1/1/2008,Warehouse Associate
68488,0,1/1/2008,Warehouse Associate
266766,0,1/1/2008,Warehouse Associate
266972,0,7/13/2008,Warehouse Associate
248470,0,1/1/2008,Warehouse Associate
242066,0,1/1/2008,Warehouse Associate
278798,0,8/19/2008,FC Associate I
278799,0,8/19/2008,FC Associate I
274870,0,6/13/2008,Customer Service Rep
246006,0,1/1/2008,Warehouse Associate
78772,0,1/1/2008,Warehouse Associate
88082,0,1/1/2008,Warehouse Associate
260777,0,8/19/2008,FC Associate I
260776,0,8/19/2008,FC Associate I
204492,0,1/1/2008,FC Associate
87227,0,1/1/2008,FC Associate
260202,0,8/12/2008,FC Associate I
276684,0,7/29/2008,FC Associate I
276690,0,7/29/2008,FC Associate I
48202,0,1/1/2008,Process Assistant
274447,0,8/3/2008,Warehouse Associate
272720,0,8/3/2008,Warehouse Associate
89468,0,1/1/2008,Warehouse Associate
